회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
디지아이,043360,컴퓨터 및 주변장치 제조업,"잉크젯 플로터, 커팅 플로터",2001-07-20,KOSDAQ,043360.KQ
코텍,052330,영상 및 음향기기 제조업,산업용 모니터,2001-07-10,KOSDAQ,052330.KQ
한네트,052600,전기 통신업,"현금서비스, 예금인출",2001-07-10,KOSDAQ,052600.KQ
에스티큐브,052020,기계장비 및 관련 물품 도매업,"전자부품, 정보통신기기, 지능형로봇외",2001-07-05,KOSDAQ,052020.KQ
티에스넥스젠,043220,특수 목적용 기계 제조업,"발전설비 Damper, 전력설비 Busway",2001-07-03,KOSDAQ,043220.KQ
큐로홀딩스,051780,음·식료품 및 담배 소매업,"DTIS, Probe Card, H.F PCB",2001-06-26,KOSDAQ,051780.KQ
피노,033790,통신 및 방송 장비 제조업,무선통신시스템용 중계기,2001-06-26,KOSDAQ,033790.KQ
나라엠앤디,051490,특수 목적용 기계 제조업,"금형,사출 및 판금부품",2001-06-12,KOSDAQ,051490.KQ
에코바이오,038870,사업시설 유지·관리 서비스업,"판매시점정보시스템(POS), 금전등록기",2001-05-29,KOSDAQ,038870.KQ
에이텍,045660,컴퓨터 및 주변장치 제조업,"PC,모니터",2001-05-24,KOSDAQ,045660.KQ
대아티아이,045390,기타 전기장비 제조업,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템",2001-05-17,KOSDAQ,045390.KQ
캠시스,050110,전자부품 제조업,휴대폰용 카메라모듈,2001-05-17,KOSDAQ,050110.KQ
현대바이오랜드,052260,기타 화학제품 제조업,"천연물질 추출물, 미생물 배양제품",2001-05-17,KOSDAQ,052260.KQ
SFA반도체,036540,반도체 제조업,"반도체패키지(SOP,DIP,QFP)",2001-05-02,KOSDAQ,036540.KQ
삼표시멘트,038500,기타 비금속 광물제품 제조업,시멘트 제품,2001-02-01,KOSDAQ,038500.KQ
HLB이노베이션,024850,전자부품 제조업,리드프레임,2001-01-18,KOSDAQ,024850.KQ
