회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
대화제약,067080,의약품 제조업,"후로스판, 세파메칠 등",2003-02-14,KOSDAQ,067080.KQ
우수AMS,066590,자동차 신품 부품 제조업,"엔진, 조향 및 기아변속기 부품",2003-02-12,KOSDAQ,066590.KQ
JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,KOSDAQ,067290.KQ
하츠,066130,가정용 기기 제조업,"레인지후드, 빌트인 기기 등",2003-02-11,KOSDAQ,066130.KQ
빅텍,065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류,2003-02-05,KOSDAQ,065450.KQ
탑엔지니어링,065130,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치,2003-01-29,KOSDAQ,065130.KQ
이루온,065440,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,2003-01-28,KOSDAQ,065440.KQ
재영솔루텍,049630,사진장비 및 광학기기 제조업,플라스틱 사출금형,2003-01-24,KOSDAQ,049630.KQ
한국큐빅,021650,플라스틱제품 제조업,Curl Fit(표면처리사업),2003-01-24,KOSDAQ,021650.KQ
인터플렉스,051370,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,KOSDAQ,051370.KQ
삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,KOSDAQ,065570.KQ
하이퍼코퍼레이션,065650,기계장비 및 관련 물품 도매업,음반재킷 제작,2003-01-21,KOSDAQ,065650.KQ
한성크린텍,066980,"건축기술, 엔지니어링 및 관련 기술 서비스업",수처리설비EPC,2003-01-17,KOSDAQ,066980.KQ
리더스코스메틱,016100,"골판지, 종이 상자 및 종이용기 제조업",화장품,2003-01-15,KOSDAQ,016100.KQ
케이피엠테크,042040,기타 전문 도매업,"표면처리약품, 전자동 도금설비",2003-01-07,KOSDAQ,042040.KQ
디티씨,066670,전자부품 제조업,LCD Module,2002-12-30,KOSDAQ,066670.KQ
아이로보틱스,066430,기타 전문 도매업,"VCI,LDPE필름 외",2002-12-24,KOSDAQ,066430.KQ
초록뱀미디어,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급,2002-12-24,KOSDAQ,047820.KQ
인크레더블버즈,064090,상품 종합 도매업,"Jayjun, Nerdy 외",2002-12-17,KOSDAQ,064090.KQ
쎌바이오텍,049960,기초 의약물질 제조업,유산균 원말 및 완제품,2002-12-13,KOSDAQ,049960.KQ
NE능률,053290,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,KOSDAQ,053290.KQ
테크엘,064520,반도체 제조업,"메모리 카드, 스마트 카드 등",2002-12-04,KOSDAQ,064520.KQ
KG이니시스,035600,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,KOSDAQ,035600.KQ
비엘팜텍,065170,음·식료품 및 담배 도매업,건강보조식품 등,2002-11-19,KOSDAQ,065170.KQ
플래스크,041590,실내건축 및 건축마무리 공사업,실내건축 등,2002-11-01,KOSDAQ,041590.KQ
새로닉스,042600,전자부품 제조업,"광학시트, FFC",2002-10-01,KOSDAQ,042600.KQ
오리엔트정공,065500,자동차 신품 부품 제조업,"하우징, 리테이너베어링",2002-09-19,KOSDAQ,065500.KQ
DGP,060900,전기업,풍력 및 태양광 발전업,2002-09-17,KOSDAQ,060900.KQ
국보디자인,066620,실내건축 및 건축마무리 공사업,인테리어디자인,2002-09-05,KOSDAQ,066620.KQ
아이톡시,052770,소프트웨어 개발 및 공급업,게임,2002-08-22,KOSDAQ,052770.KQ
에스아이리소스,065420,기타 화학제품 제조업,유연탄,2002-08-22,KOSDAQ,065420.KQ
포니링크,064800,"섬유, 의복, 신발 및 가죽제품 소매업",의류제품,2002-08-22,KOSDAQ,064800.KQ
폴라리스AI,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","TRS통신, Kipling Bag외",2002-08-13,KOSDAQ,039980.KQ
현대바이오,048410,기타 화학제품 제조업,화장품 및 화장품원료,2002-08-08,KOSDAQ,048410.KQ
에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",소형 Geared Motor,2002-07-23,KOSDAQ,058610.KQ
토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2002-07-19,KOSDAQ,045340.KQ
서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","항만크레인,구동전기장치",2002-07-16,KOSDAQ,065710.KQ
파커스,065690,고무제품 제조업,"프린터 부품, LED 조명기기,및 헬스케어 제품 제조업체",2002-07-16,KOSDAQ,065690.KQ
서울리거,043710,기타 전문 도매업,의약품 도매 및 화장품 도소매,2002-07-11,KOSDAQ,043710.KQ
홈센타홀딩스,060560,기타 전문 도매업,"건축자재,레미콘",2002-07-11,KOSDAQ,060560.KQ
아비코전자,036010,전자부품 제조업,"인덕터, 저항기",2002-07-03,KOSDAQ,036010.KQ
큐렉소,060280,기타 상품 전문 소매업,"만화단행본, 정기간행물",2002-07-03,KOSDAQ,060280.KQ
소니드,060230,기타 화학제품 제조업,화학제품 및 전자재료,2002-06-25,KOSDAQ,060230.KQ
우원개발,046940,기반조성 및 시설물 축조관련 전문공사업,토공사,2002-06-18,KOSDAQ,046940.KQ
티사이언티픽,057680,소프트웨어 개발 및 공급업,모바일쿠폰,2002-06-18,KOSDAQ,057680.KQ
인선이엔티,060150,폐기물 처리업,건축폐기물처리,2002-06-14,KOSDAQ,060150.KQ
와이어블,065530,전기 통신업,공용기지국건설/관리,2002-06-04,KOSDAQ,065530.KQ
SM Life Design,063440,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제",2002-05-30,KOSDAQ,063440.KQ
지어소프트,051160,소프트웨어 개발 및 공급업,"Mobile Solution & Platform, Internet GIS, Mobile Service",2002-05-28,KOSDAQ,051160.KQ
지엔코,065060,봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",2002-05-28,KOSDAQ,065060.KQ
셀루메드,049180,기초 의약물질 제조업,"의료기기, 바이오시밀러 및 헬스케어사업",2002-05-23,KOSDAQ,049180.KQ
KH바텍,060720,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,KOSDAQ,060720.KQ
알에프텍,061040,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",2002-05-16,KOSDAQ,061040.KQ
에스폴리텍,050760,플라스틱제품 제조업,유무선 통신용 소프트웨어,2002-05-16,KOSDAQ,050760.KQ
이랜텍,054210,전자부품 제조업,Battery Pack,2002-05-09,KOSDAQ,054210.KQ
ES큐브,050120,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,KOSDAQ,050120.KQ
케이피티유,054410,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment",2002-04-25,KOSDAQ,054410.KQ
3S,060310,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,KOSDAQ,060310.KQ
화일약품,061250,의약품 제조업,의약품 원료,2002-04-18,KOSDAQ,061250.KQ
오상자이엘,053980,소프트웨어 개발 및 공급업,CATIA Solution,2002-04-09,KOSDAQ,053980.KQ
농우바이오,054050,작물 재배업,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등",2002-04-02,KOSDAQ,054050.KQ
케이엘넷,039420,전기 통신업,EC/EDI,2002-03-12,KOSDAQ,039420.KQ
에스티아이,039440,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템",2002-02-28,KOSDAQ,039440.KQ
잉크테크,049550,기타 화학제품 제조업,"잉크젯프린터용 잉크카트리지, 재충전 잉크",2002-02-28,KOSDAQ,049550.KQ
대한뉴팜,054670,의약품 제조업,"동물약품,인체약품",2002-02-26,KOSDAQ,054670.KQ
씨티씨바이오,060590,의약품 제조업,"동물용항병원성제품, 생균효소제",2002-02-21,KOSDAQ,060590.KQ
인탑스,049070,통신 및 방송 장비 제조업,"휴대용단말기 부품, 가전 부품, 자동차 부품, 의료기기 제품, 로봇 관련 제품 제조 등",2002-02-21,KOSDAQ,049070.KQ
LS마린솔루션,060370,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,KOSDAQ,060370.KQ
피씨디렉트,051380,기계장비 및 관련 물품 도매업,"스토리지(HDD), 프로세서(CPU), Memory, Monitor등",2002-02-15,KOSDAQ,051380.KQ
구영테크,053270,자동차 신품 부품 제조업,엔진 브라켓(Engine Bracket) 등,2002-02-07,KOSDAQ,053270.KQ
한국기업평가,034950,기타 사업지원 서비스업,"신용평가, 컨설팅, 위험관리솔루션",2002-02-07,KOSDAQ,034950.KQ
뉴보텍,060260,플라스틱제품 제조업,"고강성 PVC DC, HDPE 등",2002-02-05,KOSDAQ,060260.KQ
동양에스텍,060380,1차 철강 제조업,"열연박판, 열연후판, 무늬강판",2002-02-05,KOSDAQ,060380.KQ
백금T&A,046310,통신 및 방송 장비 제조업,레이더디텍터,2002-02-05,KOSDAQ,046310.KQ
고려신용정보,049720,기타 사업지원 서비스업,"채권추심, 신용조사",2002-01-31,KOSDAQ,049720.KQ
제일바이오,052670,의약품 제조업,동물사료첨가제,2002-01-24,KOSDAQ,052670.KQ
서울반도체,046890,반도체 제조업,"Display, Chip LED, Lamp",2002-01-17,KOSDAQ,046890.KQ
아가방컴퍼니,013990,생활용품 도매업,유아용 의류 및 용품,2002-01-17,KOSDAQ,013990.KQ
한주에이알티,058450,"영화, 비디오물, 방송프로그램 제작 및 배급업","컴퓨터, 복사기 등의 부품",2002-01-17,KOSDAQ,058450.KQ
미코,059090,반도체 제조업,반도체 및 디스플레이 부품 제조,2002-01-15,KOSDAQ,059090.KQ
유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업",토목설계 및 감리,2002-01-15,KOSDAQ,054930.KQ
프럼파스트,035200,플라스틱제품 제조업,주택건설용 플라스틱 배관,2002-01-15,KOSDAQ,035200.KQ
한국컴퓨터,054040,전자부품 제조업,PCB Assembly (PBA),2002-01-15,KOSDAQ,054040.KQ
대동스틸,048470,기타 전문 도매업,"열연박판, 후판, 무늬강판 외",2002-01-10,KOSDAQ,048470.KQ
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),2002-01-10,KOSDAQ,042500.KQ
크레오에스지,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",2002-01-10,KOSDAQ,040350.KQ
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차 정비용 리프트,2002-01-10,KOSDAQ,054300.KQ
한빛소프트,047080,소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션",2002-01-10,KOSDAQ,047080.KQ
NHN KCP,060250,금융 지원 서비스업,전자결제서비스업,2002-01-08,KOSDAQ,060250.KQ
CNT85,056730,건물 건설업,산업설비 제조외,2002-01-04,KOSDAQ,056730.KQ
금강철강,053260,1차 철강 제조업,"냉연압연강판, 산세코일",2002-01-04,KOSDAQ,053260.KQ
스타코링크,060240,선박 및 보트 건조업,"모바일게임(열혈강호,검과마법)",2002-01-04,KOSDAQ,060240.KQ
동아화성,041930,고무제품 제조업,자동차용 고무부품,2001-12-26,KOSDAQ,041930.KQ
